year	Qualify	Do-not Qualify
2005	274405	863383
2006	277820	856711
2007	286549	852849
2008	298287	853610
2009	332501	859579
2010	351259	866694
2011	367677	870649
2012	379872	877898
2013	394760	885449
2014	406313	894385
