year	Qualify	Do-not Qualify
2005	184866	335353
2006	203049	336420
2007	203755	337994
2008	208055	340155
2009	224462	345674
2010	234455	351295
2011	236237	352100
2012	239292	356000
2013	209135	320044
2014	222698	361072
