year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	36794	0	8503	181135	0	104629
2006	36566	0	8842	183691	0	102957
2007	36646	0	8867	187713	0	100168
2008	37170	4713	8965	190459	0	98848
2009	35625	4395	7348	206467	2653	89186
2010	35381	4566	7493	208057	3326	92472
2011	35102	4575	7231	208676	3993	92183
2012	34775	4646	7112	212701	4525	92241
2013	34748	4325	6276	184966	5035	84694
2014	35466	4695	6938	219956	5330	88687
